name,type,address,region,sido,sigungu,lat,lng,precision,opened,note,source_url,matched
영종도 캠프,캠프,"인천광역시 중구 운북동 1328-1 (아레나스 영종), 5층 A16~20 Dock",인천,인천광역시,영종구,37.510553,126.497814,,,,,인천 영종구 운북동 1328-1
오류동 모바일 캠프,캠프,서울특별시 구로구 오류동 123(경인로 110),서울,서울특별시,구로구,37.490877,126.835143,,,,,서울 구로구 오류동 123
옥산동 B2 모바일 캠프,캠프,경상북도 경산시 옥산동 323-26,경북,경상북도,경산시,35.818377,128.719760,,,,,경북 경산시 옥산동 323-26
옥산동 B4 모바일 캠프,캠프,경상북도 경산시 옥산동 323-26,경북,경상북도,경산시,35.818377,128.719760,,,,,경북 경산시 옥산동 323-26
용계동 모바일 캠프,캠프,대구광역시 동구 화랑로100길 41(용계동 486),대구,대구광역시,동구,35.871698,128.680531,,,,,대구 동구 화랑로100길 41
용인 2 캠프,캠프,경기 화성시 황계동 102-7,경기남부,경기도,화성시,37.216650,127.021038,,,,,경기 화성시 병점구 황계동 102-7
용인 3 캠프,캠프,경기도 용인시 수지구 동천동 851 쿠팡 용인3캠프,경기남부,경기도,용인시수지구,37.335619,127.098674,,,,,경기 용인시 수지구 동천동 851
우암 모바일 캠프,캠프,부산광역시 남구 우암로 245 (우암동250번지),부산,부산광역시,남구,35.124622,129.070245,,,,,부산 남구 우암로 245
원주 캠프,캠프,강원 원주시 흥업면 사제리 220-1 (무료 주차 가능),강원,강원특별자치도,원주시,37.345005,127.889760,,,,,강원특별자치도 원주시 흥업면 사제리 220-1
음봉 모바일 캠프,캠프,충남 아산시 음봉면 음봉로 232,충남,충청남도,아산시,36.843370,127.035666,,,,,충남 아산시 음봉면 음봉로 232
읍내 모바일 캠프,캠프,대전 대덕구 읍내동154-3,대전,대전광역시,대덕구,36.381231,127.421733,,,,,대전 대덕구 읍내동 154-3
인천 4 모바일 캠프,캠프,경기도 부천시 오정구 신흥로 511번길 80,경기남부,경기도,부천시오정구,37.529800,126.775647,,,,,경기 부천시 오정구 신흥로511번길 80
인천 5 모바일 캠프,캠프,인천광역시 서구 원창동 489-2 2층 (캠프사무실로 출근),인천,인천광역시,서해구,37.513598,126.646505,,,,,인천 서해구 원창동 489-2
인천 6 모바일 캠프,캠프,인천광역시 미추홀구 도화동 985-1 (2층),인천,인천광역시,미추홀구,37.477934,126.658550,,,,,인천 미추홀구 도화동 985-1
일산 4 모바일 캠프,캠프,경기도 김포시 고촌읍 전호리 701 티제이 물류센터 1층,경기남부,경기도,김포시,37.592799,126.787172,,,,,경기 김포시 고촌읍 전호리 701
일산 6 모바일 캠프,캠프,경기도 김포시 고촌읍 전호리 743 A동 4층,경기남부,경기도,김포시,37.589717,126.791497,,,,,경기 김포시 고촌읍 전호리 743
